pin,district,state
742123,MURSHIDABAD,WEST BENGAL
608305,CUDDALORE,TAMIL NADU
756163,BHADRAK,ODISHA
506302,JANGOAN,TELANGANA
609304,MAYILADUTHURAI,TAMIL NADU
796017,AIZAWL,MIZORAM
311025,BHILWARA,RAJASTHAN
325223,BARAN,RAJASTHAN
606201,KALLAKURICHI,TAMIL NADU
458389,MANDSAUR,MADHYA PRADESH
174012,BILASPUR,HIMACHAL PRADESH
334003,BIKANER,RAJASTHAN
518674,KURNOOL,ANDHRA PRADESH
401305,PALGHAR,MAHARASHTRA
799011,Sepahijala,TRIPURA
712407,HOOGHLY,WEST BENGAL
246162,PAURI GARHWAL,UTTARAKHAND
761017,GAJAPATI,ODISHA
530028,VISAKHAPATANAM,ANDHRA PRADESH
574214,DAKSHINA KANNADA,KARNATAKA
627855,TENKASI,TAMIL NADU
793150,WEST JAINTIA HILLS,MEGHALAYA
151302,BATHINDA,PUNJAB
412203,PUNE,MAHARASHTRA
505102,WARANGAL URBAN,TELANGANA
821311,ROHTAS,BIHAR
380018,AHMADABAD,GUJARAT
641655,TIRUPPUR,TAMIL NADU
226301,LUCKNOW,UTTAR PRADESH
841305,SARAN,BIHAR
530044,VISAKHAPATANAM,ANDHRA PRADESH
207301,ETAH,UTTAR PRADESH
496242,JASHPUR,CHHATTISGARH
481664,MANDLA,MADHYA PRADESH
127028,BHIWANI,HARYANA
136119,KURUKSHETRA,HARYANA
560022,BENGALURU URBAN,KARNATAKA
176023,KANGRA,HIMACHAL PRADESH
140114,RUPNAGAR,PUNJAB
144224,HOSHIARPUR,PUNJAB
224181,AMBEDKAR NAGAR,UTTAR PRADESH
516233,Y.S.R.,ANDHRA PRADESH
212652,FATEHPUR,UTTAR PRADESH
413205,AHMEDNAGAR,MAHARASHTRA
574122,UDUPI,KARNATAKA
670643,KANNUR,KERALA
843110,VAISHALI,BIHAR
751002,KHORDHA,ODISHA
144523,HOSHIARPUR,PUNJAB
742301,MURSHIDABAD,WEST BENGAL
451111,KHARGONE,MADHYA PRADESH
515411,ANANTAPUR,ANDHRA PRADESH
784101,SONITPUR,ASSAM
360510,DEVBHUMI DWARKA,GUJARAT
411020,PUNE,MAHARASHTRA
571475,MANDYA,KARNATAKA
305202,AJMER,RAJASTHAN
401208,PALGHAR,MAHARASHTRA
481885,DINDORI,MADHYA PRADESH
629161,KANNIYAKUMARI,TAMIL NADU
250003,MEERUT,UTTAR PRADESH
248143,DEHRADUN,UTTARAKHAND
497559,KOREA,CHHATTISGARH
844118,VAISHALI,BIHAR
182126,UDHAMPUR,JAMMU AND KASHMIR
524306,SPSR NELLORE,ANDHRA PRADESH
680020,THRISSUR,KERALA
495118,Gaurella Pendra Marwahi,CHHATTISGARH
134113,PANCHKULA,HARYANA
327605,BANSWARA,RAJASTHAN
504311,ADILABAD,TELANGANA
535593,VIZIANAGARAM,ANDHRA PRADESH
754142,JAGATSINGHAPUR,ODISHA
344703,BARMER,RAJASTHAN
491223,BALOD,CHHATTISGARH
522329,GUNTUR,ANDHRA PRADESH
331802,CHURU,RAJASTHAN
637301,SALEM,TAMIL NADU
413737,AHMEDNAGAR,MAHARASHTRA
721631,MEDINIPUR EAST,WEST BENGAL
273402,GORAKHPUR,UTTAR PRADESH
680751,THRISSUR,KERALA
246724,BIJNOR,UTTAR PRADESH
208026,KANPUR NAGAR,UTTAR PRADESH
517277,CHITTOOR,ANDHRA PRADESH
824236,GAYA,BIHAR
828403,BOKARO,JHARKHAND
471606,CHHATARPUR,MADHYA PRADESH
495444,KORBA,CHHATTISGARH
744203,NORTH AND MIDDLE ANDAMAN,ANDAMAN AND NICOBAR ISLANDS
622506,PUDUKKOTTAI,TAMIL NADU
274405,DEORIA,UTTAR PRADESH
134116,PANCHKULA,HARYANA
474007,GWALIOR,MADHYA PRADESH
737126,SOUTH DISTRICT,SIKKIM
313328,RAJSAMAND,RAJASTHAN
509153,JOGULAMBA GADWAL,TELANGANA
783132,GOALPARA,ASSAM
637215,NAMAKKAL,TAMIL NADU
670563,KANNUR,KERALA
431003,AURANGABAD,MAHARASHTRA
441804,BHANDARA,MAHARASHTRA
630211,SIVAGANGA,TAMIL NADU
171220,SHIMLA,HIMACHAL PRADESH
680655,THRISSUR,KERALA
243726,BUDAUN,UTTAR PRADESH
361305,DEVBHUMI DWARKA,GUJARAT
421201,THANE,MAHARASHTRA
476111,MORENA,MADHYA PRADESH
431714,NANDED,MAHARASHTRA
685601,IDUKKI,KERALA
793161,WEST JAINTIA HILLS,MEGHALAYA
508277,YADADRI BHUVANAGIRI,TELANGANA
380063,AHMADABAD,GUJARAT
521178,KRISHNA,ANDHRA PRADESH
796421,AIZAWL,MIZORAM
495557,JANJGIR-CHAMPA,CHHATTISGARH
639201,KARUR,TAMIL NADU
412409,PUNE,MAHARASHTRA
246175,PAURI GARHWAL,UTTARAKHAND
136118,KURUKSHETRA,HARYANA
403701,SOUTH GOA,GOA
509375,NAGARKURNOOL,TELANGANA
759023,DHENKANAL,ODISHA
464114,VIDISHA,MADHYA PRADESH
629602,KANNIYAKUMARI,TAMIL NADU
762100,KANDHAMAL,ODISHA
232105,CHANDAULI,UTTAR PRADESH
641104,COIMBATORE,TAMIL NADU
208007,KANPUR NAGAR,UTTAR PRADESH
670642,KANNUR,KERALA
171213,SHIMLA,HIMACHAL PRADESH
533447,EAST GODAVARI,ANDHRA PRADESH
332029,SIKAR,RAJASTHAN
497001,BALRAMPUR,CHHATTISGARH
360575,PORBANDAR,GUJARAT
752079,NAYAGARH,ODISHA
190024,SRINAGAR,JAMMU AND KASHMIR
416138,KOLHAPUR,MAHARASHTRA
473775,SHIVPURI,MADHYA PRADESH
627427,TIRUNELVELI,TAMIL NADU
678633,PALAKKAD,KERALA
622001,PUDUKKOTTAI,TAMIL NADU
700072,KOLKATA,WEST BENGAL
225126,BARABANKI,UTTAR PRADESH
416531,SINDHUDURG,MAHARASHTRA
581303,UTTARA KANNADA,KARNATAKA
670646,WAYANAD,KERALA
174319,UNA,HIMACHAL PRADESH
638456,ERODE,TAMIL NADU
370240,KACHCHH,GUJARAT
414303,AHMEDNAGAR,MAHARASHTRA
506329,WARANGAL RURAL,TELANGANA
122017,GURUGRAM,HARYANA
144532,HOSHIARPUR,PUNJAB
247776,MUZAFFARNAGAR,UTTAR PRADESH
734224,DARJEELING,WEST BENGAL
521153,KRISHNA,ANDHRA PRADESH
591127,BELAGAVI,KARNATAKA
211011,PRAYAGRAJ,UTTAR PRADESH
700002,KOLKATA,WEST BENGAL
365730,AMRELI,GUJARAT
735224,COOCHBEHAR,WEST BENGAL
741163,NADIA,WEST BENGAL
752022,KHORDHA,ODISHA
125055,SIRSA,HARYANA
327024,BANSWARA,RAJASTHAN
805123,NAWADA,BIHAR
734015,JALPAIGURI,WEST BENGAL
585226,BIDAR,KARNATAKA
741250,NADIA,WEST BENGAL
841427,GOPALGANJ,BIHAR
523326,PRAKASAM,ANDHRA PRADESH
732128,MALDAH,WEST BENGAL
144626,KAPURTHALA,PUNJAB
786621,DIBRUGARH,ASSAM
573111,HASSAN,KARNATAKA
206253,ETAWAH,UTTAR PRADESH
679503,PALAKKAD,KERALA
712102,HOOGHLY,WEST BENGAL
442703,GADCHIROLI,MAHARASHTRA
580020,DHARWAD,KARNATAKA
629810,KANNIYAKUMARI,TAMIL NADU
144003,JALANDHAR,PUNJAB
480003,CHHINDWARA,MADHYA PRADESH
612203,MAYILADUTHURAI,TAMIL NADU
175049,MANDI,HIMACHAL PRADESH
690105,ALAPPUZHA,KERALA
281203,MATHURA,UTTAR PRADESH
515002,ANANTAPUR,ANDHRA PRADESH
534301,WEST GODAVARI,ANDHRA PRADESH
573133,HASSAN,KARNATAKA
631553,KANCHIPURAM,TAMIL NADU
327022,BANSWARA,RAJASTHAN
380006,AHMADABAD,GUJARAT
385575,BANAS KANTHA,GUJARAT
700030,24 PARAGANAS NORTH,WEST BENGAL
144035,JALANDHAR,PUNJAB
306709,PALI,RAJASTHAN
303106,JAIPUR,RAJASTHAN
143118,Tarn Taran,PUNJAB
494444,BIJAPUR,CHHATTISGARH
695021,THIRUVANANTHAPURAM,KERALA
400024,MUMBAI SUBURBAN,MAHARASHTRA
636010,SALEM,TAMIL NADU
756047,BALESHWAR,ODISHA
500006,HYDERABAD,TELANGANA
824221,GAYA,BIHAR
573119,HASSAN,KARNATAKA
151106,BATHINDA,PUNJAB
185212,RAJOURI,JAMMU AND KASHMIR
480557,CHHINDWARA,MADHYA PRADESH
508201,SURYAPET,TELANGANA
412412,PUNE,MAHARASHTRA
532429,SRIKAKULAM,ANDHRA PRADESH
314034,DUNGARPUR,RAJASTHAN
495454,KORBA,CHHATTISGARH
841406,SIWAN,BIHAR
814102,DUMKA,JHARKHAND
221407,VARANASI,UTTAR PRADESH
621103,PERAMBALUR,TAMIL NADU
517391,CHITTOOR,ANDHRA PRADESH
783324,DHUBRI,ASSAM
423205,NASHIK,MAHARASHTRA
605702,KALLAKURICHI,TAMIL NADU
754224,KENDRAPARA,ODISHA
625402,MADURAI,TAMIL NADU
630561,SIVAGANGA,TAMIL NADU
782127,MARIGAON,ASSAM
784510,UDALGURI,ASSAM
246722,BIJNOR,UTTAR PRADESH
711413,HOWRAH,WEST BENGAL
824202,AURANGABAD,BIHAR
365650,AMRELI,GUJARAT
303502,DAUSA,RAJASTHAN
680620,THRISSUR,KERALA
600115,CHENNAI,TAMIL NADU
576102,UDUPI,KARNATAKA
632009,VELLORE,TAMIL NADU
533429,EAST GODAVARI,ANDHRA PRADESH
533261,EAST GODAVARI,ANDHRA PRADESH
301709,ALWAR,RAJASTHAN
476224,MORENA,MADHYA PRADESH
402101,RAIGAD,MAHARASHTRA
688527,ALAPPUZHA,KERALA
577532,CHITRADURGA,KARNATAKA
500094,HYDERABAD,TELANGANA
742168,MURSHIDABAD,WEST BENGAL
185153,RAJOURI,JAMMU AND KASHMIR
788101,CACHAR,ASSAM
249410,HARIDWAR,UTTARAKHAND
800024,PATNA,BIHAR
823004,GAYA,BIHAR
403102,NORTH GOA,GOA
831019,EAST SINGHBUM,JHARKHAND
682028,ERNAKULAM,KERALA
306105,PALI,RAJASTHAN
410508,PUNE,MAHARASHTRA
342023,JODHPUR,RAJASTHAN
572213,TUMAKURU,KARNATAKA
321201,BHARATPUR,RAJASTHAN
261136,SITAPUR,UTTAR PRADESH
462042,BHOPAL,MADHYA PRADESH
473110,GUNA,MADHYA PRADESH
441224,CHANDRAPUR,MAHARASHTRA
495442,BILASPUR,CHHATTISGARH
516356,Y.S.R.,ANDHRA PRADESH
825324,GIRIDIH,JHARKHAND
673305,KOZHIKODE,KERALA
679584,MALAPPURAM,KERALA
784502,SONITPUR,ASSAM
781339,NALBARI,ASSAM
828130,DHANBAD,JHARKHAND
246155,PAURI GARHWAL,UTTARAKHAND
752102,KHORDHA,ODISHA
795011,BISHNUPUR,MANIPUR
416413,SANGLI,MAHARASHTRA
813205,BANKA,BIHAR
507209,KHAMMAM,TELANGANA
846002,DARBHANGA,BIHAR
249403,HARIDWAR,UTTARAKHAND
641013,COIMBATORE,TAMIL NADU
721440,MEDINIPUR EAST,WEST BENGAL
782104,MARIGAON,ASSAM
614807,NAGAPATTINAM,TAMIL NADU
601203,THIRUVALLUR,TAMIL NADU
415605,RATNAGIRI,MAHARASHTRA
400603,THANE,MAHARASHTRA
627007,TIRUNELVELI,TAMIL NADU
518467,KURNOOL,ANDHRA PRADESH
741247,NADIA,WEST BENGAL
490026,DURG,CHHATTISGARH
207123,Kasganj,UTTAR PRADESH
574119,UDUPI,KARNATAKA
700059,24 PARAGANAS NORTH,WEST BENGAL
756120,BHADRAK,ODISHA
787035,DHEMAJI,ASSAM
823005,GAYA,BIHAR
577005,DAVANGERE,KARNATAKA
212303,PRAYAGRAJ,UTTAR PRADESH
341028,NAGAUR,RAJASTHAN
423701,AURANGABAD,MAHARASHTRA
600033,CHENNAI,TAMIL NADU
360452,RAJKOT,GUJARAT
301002,ALWAR,RAJASTHAN
451225,KHARGONE,MADHYA PRADESH
495001,BILASPUR,CHHATTISGARH
573103,HASSAN,KARNATAKA
585210,KALABURAGI,KARNATAKA
638660,TIRUPPUR,TAMIL NADU
609306,MAYILADUTHURAI,TAMIL NADU
445209,YAVATMAL,MAHARASHTRA
765018,RAYAGADA,ODISHA
799211,West Tripura,TRIPURA
275201,GHAZIPUR,UTTAR PRADESH
609603,KARAIKAL,PUDUCHERRY
678505,PALAKKAD,KERALA
226030,LUCKNOW,UTTAR PRADESH
473118,GUNA,MADHYA PRADESH
412202,PUNE,MAHARASHTRA
737135,EAST DISTRICT,SIKKIM
110046,NEW DELHI,DELHI
509327,RANGA REDDY,TELANGANA
678622,PALAKKAD,KERALA
685501,IDUKKI,KERALA
627805,TENKASI,TAMIL NADU
274705,DEORIA,UTTAR PRADESH
262532,PITHORAGARH,UTTARAKHAND
412220,PUNE,MAHARASHTRA
443106,BULDHANA,MAHARASHTRA
443401,BULDHANA,MAHARASHTRA
623533,RAMANATHAPURAM,TAMIL NADU
533309,EAST GODAVARI,ANDHRA PRADESH
638476,ERODE,TAMIL NADU
180013,JAMMU,JAMMU AND KASHMIR
205303,MAINPURI,UTTAR PRADESH
673529,KOZHIKODE,KERALA
483113,JABALPUR,MADHYA PRADESH
587124,BAGALKOTE,KARNATAKA
621712,TIRUCHIRAPPALLI,TAMIL NADU
624208,DINDIGUL,TAMIL NADU
815315,GIRIDIH,JHARKHAND
580026,DHARWAD,KARNATAKA
612104,THANJAVUR,TAMIL NADU
583153,BALLARI,KARNATAKA
509102,NAGARKURNOOL,TELANGANA
508247,NALGONDA,TELANGANA
641112,COIMBATORE,TAMIL NADU
743291,24 PARAGANAS NORTH,WEST BENGAL
686536,KOTTAYAM,KERALA
786601,TINSUKIA,ASSAM
678597,PALAKKAD,KERALA
532187,SRIKAKULAM,ANDHRA PRADESH
500070,RANGA REDDY,TELANGANA
570031,MYSURU,KARNATAKA
141114,LUDHIANA,PUNJAB
532322,SRIKAKULAM,ANDHRA PRADESH
770051,SUNDARGARH,ODISHA
825108,GIRIDIH,JHARKHAND
829143,RAMGARH,JHARKHAND
396191,VALSAD,GUJARAT
678002,PALAKKAD,KERALA
382426,GANDHINAGAR,GUJARAT
700082,KOLKATA,WEST BENGAL
742308,MURSHIDABAD,WEST BENGAL
670003,KANNUR,KERALA
401401,PALGHAR,MAHARASHTRA
574279,DAKSHINA KANNADA,KARNATAKA
500100,MEDCHAL MALKAJGIRI,TELANGANA
380028,AHMADABAD,GUJARAT
403720,SOUTH GOA,GOA
802163,BHOJPUR,BIHAR
441903,BHANDARA,MAHARASHTRA
764047,MALKANGIRI,ODISHA
844101,VAISHALI,BIHAR
606209,KALLAKURICHI,TAMIL NADU
458888,MANDSAUR,MADHYA PRADESH
686578,KOTTAYAM,KERALA
643240,THE NILGIRIS,TAMIL NADU
396185,VALSAD,GUJARAT
516001,Y.S.R.,ANDHRA PRADESH
144201,JALANDHAR,PUNJAB
325221,BARAN,RAJASTHAN
781307,BARPETA,ASSAM
581346,UTTARA KANNADA,KARNATAKA
175029,MANDI,HIMACHAL PRADESH
670673,KANNUR,KERALA
480331,CHHINDWARA,MADHYA PRADESH
445201,YAVATMAL,MAHARASHTRA
243637,BUDAUN,UTTAR PRADESH
148020,MALERKOTLA,PUNJAB
370650,KACHCHH,GUJARAT
614630,PUDUKKOTTAI,TAMIL NADU
752001,PURI,ODISHA
384130,MAHESANA,GUJARAT
731236,BIRBHUM,WEST BENGAL
523262,PRAKASAM,ANDHRA PRADESH
472246,Niwari,MADHYA PRADESH
793108,EAST KHASI HILLS,MEGHALAYA
131027,SONIPAT,HARYANA
431808,NANDED,MAHARASHTRA
680523,THRISSUR,KERALA
825132,KODERMA,JHARKHAND
110024,SOUTH,DELHI
144624,KAPURTHALA,PUNJAB
743330,24 PARAGANAS SOUTH,WEST BENGAL
744102,SOUTH ANDAMANS,ANDAMAN AND NICOBAR ISLANDS
700106,24 PARAGANAS NORTH,WEST BENGAL
524410,SPSR NELLORE,ANDHRA PRADESH
796014,AIZAWL,MIZORAM
311404,BHILWARA,RAJASTHAN
628204,TUTICORIN,TAMIL NADU
673301,KOZHIKODE,KERALA
845412,PURBI CHAMPARAN,BIHAR
825313,HAZARIBAGH,JHARKHAND
500022,HYDERABAD,TELANGANA
456550,UJJAIN,MADHYA PRADESH
516129,Y.S.R.,ANDHRA PRADESH
575017,DAKSHINA KANNADA,KARNATAKA
497111,SURGUJA,CHHATTISGARH
814142,DEOGHAR,JHARKHAND
822124,GARHWA,JHARKHAND
360577,PORBANDAR,GUJARAT
208021,KANPUR NAGAR,UTTAR PRADESH
507210,MAHABUBABAD,TELANGANA
587103,BAGALKOTE,KARNATAKA
277211,BALLIA,UTTAR PRADESH
321406,BHARATPUR,RAJASTHAN
421312,PALGHAR,MAHARASHTRA
285204,JALAUN,UTTAR PRADESH
793003,EAST KHASI HILLS,MEGHALAYA
147105,PATIALA,PUNJAB
472445,Niwari,MADHYA PRADESH
631551,KANCHIPURAM,TAMIL NADU
413712,AHMEDNAGAR,MAHARASHTRA
416220,KOLHAPUR,MAHARASHTRA
678507,PALAKKAD,KERALA
673106,KOZHIKODE,KERALA
768217,JHARSUGUDA,ODISHA
144302,JALANDHAR,PUNJAB
683585,ERNAKULAM,KERALA
274808,DEORIA,UTTAR PRADESH
628716,TUTICORIN,TAMIL NADU
171223,SHIMLA,HIMACHAL PRADESH
493559,BALODA BAZAR,CHHATTISGARH
500056,HYDERABAD,TELANGANA
411058,PUNE,MAHARASHTRA
623523,RAMANATHAPURAM,TAMIL NADU
562117,RAMANAGARA,KARNATAKA
786187,TINSUKIA,ASSAM
144529,HOSHIARPUR,PUNJAB
232104,CHANDAULI,UTTAR PRADESH
313332,RAJSAMAND,RAJASTHAN
314036,DUNGARPUR,RAJASTHAN
515832,ANANTAPUR,ANDHRA PRADESH
416236,KOLHAPUR,MAHARASHTRA
605010,PONDICHERRY,PUDUCHERRY
680565,THRISSUR,KERALA
678571,PALAKKAD,KERALA
314028,DUNGARPUR,RAJASTHAN
786610,DIBRUGARH,ASSAM
431115,AURANGABAD,MAHARASHTRA
226006,LUCKNOW,UTTAR PRADESH
605003,PONDICHERRY,PUDUCHERRY
683547,ERNAKULAM,KERALA
793109,WEST JAINTIA HILLS,MEGHALAYA
754113,JAGATSINGHAPUR,ODISHA
314025,DUNGARPUR,RAJASTHAN
626115,VIRUDHUNAGAR,TAMIL NADU
628615,TUTICORIN,TAMIL NADU
731132,BIRBHUM,WEST BENGAL
737111,WEST DISTRICT,SIKKIM
783133,GOALPARA,ASSAM
272191,SIDDHARTH NAGAR,UTTAR PRADESH
518221,KURNOOL,ANDHRA PRADESH
573216,HASSAN,KARNATAKA
678556,PALAKKAD,KERALA
230501,Amethi,UTTAR PRADESH
642201,TIRUPPUR,TAMIL NADU
613504,THANJAVUR,TAMIL NADU
222131,JAUNPUR,UTTAR PRADESH
391776,VADODARA,GUJARAT
302021,JAIPUR,RAJASTHAN
503322,NIZAMABAD,TELANGANA
574145,DAKSHINA KANNADA,KARNATAKA
562131,RAMANAGARA,KARNATAKA
395013,SURAT,GUJARAT
577132,CHIKKAMAGALURU,KARNATAKA
743423,24 PARAGANAS NORTH,WEST BENGAL
815312,GIRIDIH,JHARKHAND
829132,BOKARO,JHARKHAND
583213,BALLARI,KARNATAKA
636101,SALEM,TAMIL NADU
521148,KRISHNA,ANDHRA PRADESH
562129,BENGALURU RURAL,KARNATAKA
193108,BARAMULLA,JAMMU AND KASHMIR
852213,MADHEPURA,BIHAR
212214,KAUSHAMBI,UTTAR PRADESH
515701,ANANTAPUR,ANDHRA PRADESH
625707,MADURAI,TAMIL NADU
440032,NAGPUR,MAHARASHTRA
504302,MANCHERIAL,TELANGANA
476228,MORENA,MADHYA PRADESH
491221,BALOD,CHHATTISGARH
495449,BILASPUR,CHHATTISGARH
643103,THE NILGIRIS,TAMIL NADU
782001,NAGAON,ASSAM
796101,KOLASIB,MIZORAM
132113,PANIPAT,HARYANA
364280,BHAVNAGAR,GUJARAT
788117,CACHAR,ASSAM
721437,MEDINIPUR WEST,WEST BENGAL
622304,PUDUKKOTTAI,TAMIL NADU
787051,LAKHIMPUR,ASSAM
176502,KANGRA,HIMACHAL PRADESH
843101,MUZAFFARPUR,BIHAR
531033,VISAKHAPATANAM,ANDHRA PRADESH
695144,THIRUVANANTHAPURAM,KERALA
305630,AJMER,RAJASTHAN
781018,KAMRUP METRO,ASSAM
573210,HASSAN,KARNATAKA
533342,EAST GODAVARI,ANDHRA PRADESH
591308,BELAGAVI,KARNATAKA
226015,LUCKNOW,UTTAR PRADESH
171211,SHIMLA,HIMACHAL PRADESH
532407,SRIKAKULAM,ANDHRA PRADESH
607112,CUDDALORE,TAMIL NADU
146110,HOSHIARPUR,PUNJAB
223221,AZAMGARH,UTTAR PRADESH
440008,NAGPUR,MAHARASHTRA
713372,PASCHIM BARDHAMAN,WEST BENGAL
175006,MANDI,HIMACHAL PRADESH
532456,SRIKAKULAM,ANDHRA PRADESH
711109,HOWRAH,WEST BENGAL
814133,GODDA,JHARKHAND
388320,ANAND,GUJARAT
391320,VADODARA,GUJARAT
461228,HARDA,MADHYA PRADESH
442301,WARDHA,MAHARASHTRA
627108,TIRUNELVELI,TAMIL NADU
852219,MADHEPURA,BIHAR
486776,SIDHI,MADHYA PRADESH
585223,YADGIR,KARNATAKA
334401,BIKANER,RAJASTHAN
686582,KOTTAYAM,KERALA
144703,JALANDHAR,PUNJAB
388210,ANAND,GUJARAT
176201,KANGRA,HIMACHAL PRADESH
125039,HISAR,HARYANA
225415,BARABANKI,UTTAR PRADESH
477105,BHIND,MADHYA PRADESH
516293,Y.S.R.,ANDHRA PRADESH
673575,WAYANAD,KERALA
700093,24 PARAGANAS SOUTH,WEST BENGAL
767048,BALANGIR,ODISHA
785696,SIVASAGAR,ASSAM
488222,PANNA,MADHYA PRADESH
174035,BILASPUR,HIMACHAL PRADESH
532406,SRIKAKULAM,ANDHRA PRADESH
731214,BIRBHUM,WEST BENGAL
251003,MUZAFFARNAGAR,UTTAR PRADESH
416210,KOLHAPUR,MAHARASHTRA
621719,Ariyalur,TAMIL NADU
382422,GANDHINAGAR,GUJARAT
410503,PUNE,MAHARASHTRA
524224,SPSR NELLORE,ANDHRA PRADESH
758082,KENDUJHAR,ODISHA
627755,TENKASI,TAMIL NADU
222161,JAUNPUR,UTTAR PRADESH
581302,UTTARA KANNADA,KARNATAKA
585411,BIDAR,KARNATAKA
572115,TUMAKURU,KARNATAKA
341501,NAGAUR,RAJASTHAN
471625,CHHATARPUR,MADHYA PRADESH
847424,MADHUBANI,BIHAR
342314,JODHPUR,RAJASTHAN
173209,SOLAN,HIMACHAL PRADESH
313601,UDAIPUR,RAJASTHAN
723128,PURULIA,WEST BENGAL
821308,ROHTAS,BIHAR
532264,SRIKAKULAM,ANDHRA PRADESH
783126,GOALPARA,ASSAM
580001,DHARWAD,KARNATAKA
262524,CHAMPAWAT,UTTARAKHAND
143601,AMRITSAR,PUNJAB
225001,BARABANKI,UTTAR PRADESH
416612,SINDHUDURG,MAHARASHTRA
524137,SPSR NELLORE,ANDHRA PRADESH
477566,BHIND,MADHYA PRADESH
581304,UTTARA KANNADA,KARNATAKA
691571,KOLLAM,KERALA
177021,HAMIRPUR,HIMACHAL PRADESH
781136,KAMRUP,ASSAM
829208,LATEHAR,JHARKHAND
